Batch_ID,Production_Date,Balls_Produced,Shift,Operator_ID
B000001,2022-01-15,1092,Afternoon,1030
B000002,2023-04-19,3968,Afternoon,1008
B000003,2023-10-25,3969,Morning,1071
B000004,2024-01-25,538,Afternoon,1061
B000005,2022-04-12,3028,Night,1094
B000006,2023-11-13,1911,Afternoon,1087
B000007,2022-05-07,1344,Night,1011
B000008,2024-01-06,2380,Afternoon,1070
B000009,2023-10-10,535,Night,1009
B000010,2023-01-11,2208,Night,1075
B000011,2024-10-08,944,Morning,1039
B000012,2024-09-21,3422,Night,1004
B000013,2023-10-12,2132,Afternoon,1050
B000014,2023-03-13,1215,Afternoon,1090
B000015,2023-06-08,561,Morning,1038
B000016,2024-11-02,4448,Morning,1068
B000017,2022-11-05,4436,Morning,1080
B000018,2023-05-21,2986,Afternoon,1070
B000019,2022-03-10,2768,Night,1015
B000020,2023-04-12,2502,Morning,1015
B000021,2023-01-08,4242,Afternoon,1094
B000022,2023-12-17,865,Afternoon,1063
B000023,2022-10-02,4368,Afternoon,1084
B000024,2024-01-10,631,Afternoon,1045
B000025,2022-11-19,1499,Morning,1068
B000026,2024-02-11,4092,Night,1050
B000027,2024-01-28,1200,Afternoon,1027
B000028,2022-01-13,1519,Morning,1099
B000029,2023-12-18,3761,Afternoon,1062
B000030,2023-11-28,1206,Night,1079
B000031,2023-07-16,1778,Afternoon,1085
B000032,2024-07-13,3829,Morning,1004
B000033,2023-04-14,3449,Night,1037
B000034,2024-10-10,2199,Morning,1026
B000035,2023-02-15,690,Morning,1010
B000036,2024-08-07,4842,Morning,1056
B000037,2022-11-04,4294,Morning,1096
B000038,2023-06-06,1619,Afternoon,1073
B000039,2023-01-18,1187,Afternoon,1072
B000040,2022-10-04,3223,Night,1020
B000041,2023-03-11,1594,Night,1035
B000042,2022-01-31,2571,Night,1097
B000043,2024-02-04,1709,Afternoon,1074
B000044,2023-03-29,4941,Night,1000
B000045,2024-07-04,3812,Night,1006
B000046,2024-03-25,4201,Night,1063
B000047,2022-12-16,1326,Afternoon,1020
B000048,2024-08-13,2491,Morning,1091
B000049,2023-09-16,4615,Afternoon,1045
B000050,2022-11-24,3146,Afternoon,1019
B000051,2022-06-12,1621,Afternoon,1058
B000052,2024-12-04,4615,Morning,1040
B000053,2024-03-05,4069,Night,1046
B000054,2023-06-29,3373,Morning,1075
B000055,2024-07-06,2034,Morning,1006
B000056,2024-02-04,4390,Afternoon,1010
B000057,2023-11-06,4666,Morning,1042
B000058,2022-04-11,2225,Morning,1002
B000059,2024-09-25,3589,Night,1083
B000060,2024-07-27,1224,Morning,1016
B000061,2022-02-13,521,Night,1033
B000062,2024-04-01,843,Morning,1057
B000063,2024-04-11,4539,Morning,1063
B000064,2024-06-19,4330,Morning,1071
B000065,2022-03-24,1827,Afternoon,1024
B000066,2022-03-14,2954,Afternoon,1066
B000067,2023-12-13,2260,Afternoon,1021
B000068,2023-01-24,2767,Afternoon,1078
B000069,2022-10-29,3288,Afternoon,1080
B000070,2022-07-21,4926,Morning,1072
B000071,2024-06-26,2564,Night,1085
B000072,2022-10-16,2799,Night,1076
B000073,2024-04-18,4796,Night,1057
B000074,2023-03-06,3562,Night,1075
B000075,2022-01-27,2152,Afternoon,1069
B000076,2024-12-30,4750,Afternoon,1052
B000077,2024-05-18,1050,Morning,1046
B000078,2022-02-15,4792,Afternoon,1060
B000079,2022-07-04,3453,Morning,1098
B000080,2023-09-26,2033,Night,1090
B000081,2023-02-15,3775,Night,1099
B000082,2023-02-06,1578,Morning,1073
B000083,2023-01-31,4406,Morning,1031
B000084,2022-09-22,1936,Afternoon,1013
B000085,2022-09-09,4454,Morning,1038
B000086,2024-08-13,3895,Night,1069
B000087,2022-11-15,2921,Afternoon,1090
B000088,2023-01-21,1602,Afternoon,1027
B000089,2023-02-25,3421,Afternoon,1017
B000090,2022-01-02,2498,Morning,1032
B000091,2022-02-17,2561,Night,1022
B000092,2023-02-11,3125,Night,1047
B000093,2022-02-10,1270,Afternoon,1064
B000094,2022-12-03,1376,Night,1095
B000095,2022-07-22,4018,Morning,1053
B000096,2024-07-23,4505,Night,1088
B000097,2024-03-16,2314,Morning,1097
B000098,2023-04-30,2041,Morning,1081
B000099,2022-11-27,3887,Night,1082
B000100,2023-02-10,1663,Night,1046
B000101,2022-02-03,4427,Night,1036
B000102,2022-07-03,2546,Morning,1014
B000103,2024-09-16,4279,Night,1073
B000104,2023-04-07,625,Afternoon,1046
B000105,2023-09-29,3840,Afternoon,1048
B000106,2023-03-22,2551,Night,1082
B000107,2022-10-21,4770,Morning,1063
B000108,2022-02-25,1419,Afternoon,1043
B000109,2022-05-29,3983,Afternoon,1045
B000110,2024-03-01,668,Afternoon,1012
B000111,2022-04-24,4899,Morning,1052
B000112,2023-04-15,1121,Morning,1011
B000113,2024-03-25,4014,Night,1041
B000114,2022-11-14,4069,Night,1086
B000115,2023-12-17,4952,Afternoon,1092
B000116,2022-11-27,4563,Afternoon,1029
B000117,2023-06-29,4320,Morning,1028
B000118,2023-11-22,607,Morning,1026
B000119,2024-03-19,3093,Morning,1062
B000120,2023-02-20,2330,Night,1096
B000121,2022-05-10,1375,Night,1092
B000122,2023-03-12,2880,Morning,1076
B000123,2023-03-02,3375,Afternoon,1072
B000124,2024-07-26,4102,Afternoon,1056
B000125,2022-06-12,1855,Night,1022
B000126,2022-06-05,1471,Afternoon,1012
B000127,2023-04-12,4854,Night,1066
B000128,2023-04-02,769,Night,1006
B000129,2023-11-21,4190,Night,1035
B000130,2024-07-20,2350,Morning,1074
B000131,2024-01-08,1591,Night,1053
B000132,2022-03-22,3214,Night,1002
B000133,2022-08-19,4473,Morning,1009
B000134,2024-03-07,2313,Night,1061
B000135,2022-01-28,915,Morning,1058
B000136,2024-06-09,4592,Morning,1013
B000137,2024-08-06,3085,Morning,1038
B000138,2022-05-15,988,Night,1097
B000139,2022-12-23,2943,Morning,1097
B000140,2023-05-22,2145,Night,1015
B000141,2023-05-04,609,Night,1094
B000142,2024-07-13,2670,Morning,1086
B000143,2024-09-24,1198,Night,1009
B000144,2024-03-17,4341,Night,1024
B000145,2024-04-28,2101,Morning,1045
B000146,2023-08-01,1720,Night,1051
B000147,2022-07-06,4033,Morning,1048
B000148,2022-10-09,1804,Morning,1029
B000149,2022-12-08,2552,Night,1037
B000150,2022-12-06,998,Morning,1093
B000151,2022-05-04,3359,Morning,1040
B000152,2024-10-04,1865,Night,1068
B000153,2023-12-20,594,Morning,1005
B000154,2022-11-08,1863,Night,1014
B000155,2022-07-04,1784,Night,1082
B000156,2023-12-12,3367,Night,1016
B000157,2022-07-30,2667,Night,1005
B000158,2022-10-06,2708,Morning,1050
B000159,2024-04-25,2397,Morning,1005
B000160,2024-01-11,773,Night,1071
B000161,2022-09-11,2105,Night,1098
B000162,2023-01-02,2879,Morning,1082
B000163,2023-05-08,1313,Night,1024
B000164,2023-12-09,4150,Night,1010
B000165,2022-10-31,2716,Afternoon,1037
B000166,2024-07-01,3486,Afternoon,1011
B000167,2022-10-30,3874,Night,1000
B000168,2024-11-27,890,Morning,1009
B000169,2024-07-21,1900,Night,1086
B000170,2022-10-06,779,Afternoon,1080
B000171,2024-09-02,3112,Morning,1054
B000172,2023-12-13,2532,Afternoon,1055
B000173,2023-01-07,3550,Afternoon,1011
B000174,2022-07-10,2803,Afternoon,1011
B000175,2024-08-02,4999,Morning,1091
B000176,2023-07-28,1313,Afternoon,1043
B000177,2022-04-25,2297,Afternoon,1028
B000178,2022-08-27,1908,Afternoon,1005
B000179,2024-03-05,3127,Afternoon,1005
B000180,2024-10-28,3293,Afternoon,1079
B000181,2022-05-24,1761,Morning,1089
B000182,2024-10-26,2332,Night,1081
B000183,2024-11-11,1447,Afternoon,1005
B000184,2022-08-16,1962,Morning,1096
B000185,2024-12-04,2480,Afternoon,1015
B000186,2023-01-04,2957,Morning,1097
B000187,2022-12-08,3448,Night,1061
B000188,2022-11-06,3514,Afternoon,1027
B000189,2022-10-26,733,Morning,1079
B000190,2024-08-23,4939,Afternoon,1039
B000191,2024-04-03,795,Night,1001
B000192,2023-05-23,954,Morning,1083
B000193,2023-01-27,1163,Afternoon,1045
B000194,2022-09-17,1981,Morning,1008
B000195,2024-08-28,3840,Afternoon,1089
B000196,2022-03-08,622,Afternoon,1063
B000197,2022-01-26,2670,Afternoon,1083
B000198,2023-08-08,2641,Afternoon,1051
B000199,2023-10-07,1056,Night,1026
B000200,2023-09-03,2792,Afternoon,1039
B000201,2023-11-27,1178,Afternoon,1056
B000202,2023-09-26,1920,Morning,1051
B000203,2023-08-21,3139,Night,1061
B000204,2024-03-24,2408,Night,1061
B000205,2023-11-13,837,Morning,1080
B000206,2023-08-21,783,Night,1064
B000207,2024-09-26,4819,Night,1054
B000208,2022-03-23,3495,Morning,1099
B000209,2024-06-23,4954,Morning,1092
B000210,2022-05-21,3860,Night,1075
B000211,2022-07-10,3184,Night,1009
B000212,2022-01-20,2284,Afternoon,1024
B000213,2024-09-14,4660,Afternoon,1000
B000214,2023-07-18,3399,Afternoon,1084
B000215,2023-02-06,4262,Night,1011
B000216,2023-09-07,979,Morning,1021
B000217,2024-04-20,1119,Morning,1027
B000218,2022-10-31,2919,Afternoon,1074
B000219,2024-03-09,953,Night,1039
B000220,2022-04-26,1519,Morning,1023
B000221,2022-11-21,4669,Night,1070
B000222,2022-04-24,4729,Night,1010
B000223,2023-11-06,4921,Morning,1001
B000224,2023-06-04,800,Night,1092
B000225,2023-07-25,2024,Afternoon,1064
B000226,2023-01-31,4946,Morning,1001
B000227,2024-07-09,3255,Night,1003
B000228,2024-07-14,2832,Afternoon,1081
B000229,2022-07-12,2113,Morning,1008
B000230,2024-01-13,2223,Afternoon,1079
B000231,2022-03-29,609,Night,1050
B000232,2023-08-24,1988,Morning,1085
B000233,2023-08-29,2392,Morning,1070
B000234,2022-07-03,2699,Morning,1087
B000235,2022-04-10,2911,Night,1033
B000236,2022-09-12,3277,Afternoon,1075
B000237,2024-10-16,2894,Morning,1008
B000238,2024-09-01,714,Night,1093
B000239,2023-01-05,4070,Afternoon,1046
B000240,2022-02-15,3819,Night,1035
B000241,2022-11-14,1186,Night,1085
B000242,2023-11-29,3667,Night,1060
B000243,2022-06-30,2063,Afternoon,1029
B000244,2022-08-13,4908,Afternoon,1025
B000245,2024-08-01,3374,Night,1024
B000246,2024-07-14,2043,Afternoon,1000
B000247,2024-11-22,2863,Night,1092
B000248,2023-07-22,812,Afternoon,1096
B000249,2022-04-26,2852,Night,1088
B000250,2022-11-18,1735,Night,1015
B000251,2023-01-13,2319,Afternoon,1086
B000252,2023-10-16,1674,Afternoon,1067
B000253,2022-08-09,4647,Night,1030
B000254,2024-01-30,4105,Morning,1041
B000255,2023-12-11,4012,Afternoon,1017
B000256,2023-02-24,2370,Morning,1092
B000257,2023-07-25,1461,Night,1010
B000258,2024-07-07,1833,Morning,1007
B000259,2023-03-15,1459,Night,1044
B000260,2023-09-12,2067,Morning,1043
B000261,2022-03-24,2892,Afternoon,1031
B000262,2022-01-13,2177,Afternoon,1027
B000263,2023-06-30,4947,Night,1026
B000264,2023-11-14,685,Afternoon,1017
B000265,2023-10-29,3539,Afternoon,1046
B000266,2023-04-25,3250,Night,1010
B000267,2023-09-28,1449,Morning,1013
B000268,2024-09-17,2700,Morning,1039
B000269,2022-05-14,1819,Morning,1056
B000270,2024-02-23,1649,Night,1027
B000271,2024-05-18,994,Morning,1010
B000272,2023-05-15,1632,Night,1081
B000273,2024-02-22,1195,Morning,1083
B000274,2024-11-24,4517,Night,1000
B000275,2023-12-24,3822,Afternoon,1091
B000276,2023-11-27,629,Night,1029
B000277,2024-10-29,4476,Afternoon,1043
B000278,2024-01-15,3695,Morning,1083
B000279,2023-06-10,4345,Afternoon,1066
B000280,2022-05-07,4689,Night,1098
B000281,2023-09-12,2439,Morning,1022
B000282,2022-02-23,1789,Night,1008
B000283,2024-01-12,2375,Afternoon,1037
B000284,2023-12-11,3992,Afternoon,1093
B000285,2023-02-18,3261,Morning,1056
B000286,2023-12-31,3170,Afternoon,1093
B000287,2023-01-09,3449,Night,1019
B000288,2022-06-05,2857,Afternoon,1009
B000289,2023-02-23,1310,Night,1058
B000290,2022-09-01,4446,Afternoon,1044
B000291,2024-10-14,632,Afternoon,1005
B000292,2023-07-27,820,Morning,1050
B000293,2024-11-07,1118,Afternoon,1059
B000294,2023-05-30,1121,Night,1008
B000295,2022-07-29,1522,Afternoon,1007
B000296,2023-08-21,1994,Morning,1068
B000297,2023-09-19,1107,Night,1000
B000298,2023-06-17,4854,Afternoon,1035
B000299,2023-10-08,4558,Morning,1054
B000300,2024-10-21,2639,Morning,1050
B000301,2022-03-21,4493,Night,1085
B000302,2024-08-13,2024,Night,1031
B000303,2022-04-08,2477,Morning,1085
B000304,2023-03-27,727,Night,1052
B000305,2024-11-08,2282,Morning,1056
B000306,2024-12-18,1648,Afternoon,1088
B000307,2024-11-21,2042,Night,1047
B000308,2024-08-20,2173,Afternoon,1001
B000309,2022-12-05,1895,Night,1044
B000310,2022-12-01,2294,Afternoon,1086
B000311,2022-09-01,3108,Afternoon,1042
B000312,2024-07-23,4794,Night,1069
B000313,2022-01-07,4531,Morning,1053
B000314,2023-11-10,4123,Night,1070
B000315,2022-05-12,2078,Afternoon,1050
B000316,2022-09-15,3035,Morning,1008
B000317,2022-06-04,4182,Morning,1091
B000318,2022-11-29,4971,Morning,1032
B000319,2022-01-14,764,Afternoon,1047
B000320,2023-03-14,3333,Morning,1079
B000321,2024-11-23,4716,Afternoon,1048
B000322,2022-07-22,2048,Night,1024
B000323,2024-04-01,1151,Night,1027
B000324,2024-12-30,1073,Night,1082
B000325,2024-04-22,1689,Afternoon,1067
B000326,2023-12-17,1509,Night,1038
B000327,2022-09-23,4876,Afternoon,1011
B000328,2022-11-20,3376,Morning,1011
B000329,2023-07-14,4865,Morning,1017
B000330,2024-01-15,2822,Afternoon,1007
B000331,2024-06-10,4923,Night,1038
B000332,2024-09-16,898,Afternoon,1041
B000333,2022-07-06,3491,Morning,1022
B000334,2024-05-29,3796,Afternoon,1029
B000335,2024-01-28,3924,Afternoon,1002
B000336,2023-09-13,2597,Afternoon,1067
B000337,2022-08-21,3764,Afternoon,1074
B000338,2023-07-01,1775,Morning,1055
B000339,2023-12-02,1910,Night,1045
B000340,2023-03-26,4750,Morning,1012
B000341,2024-12-14,1640,Morning,1000
B000342,2024-01-29,2039,Afternoon,1049
B000343,2023-05-30,536,Morning,1073
B000344,2022-01-18,1392,Morning,1005
B000345,2022-06-13,3893,Night,1036
B000346,2023-03-22,1372,Morning,1033
B000347,2024-03-21,1172,Morning,1017
B000348,2024-09-26,2853,Morning,1023
B000349,2022-08-04,3034,Afternoon,1040
B000350,2023-06-05,2458,Afternoon,1005
B000351,2023-02-24,3935,Night,1036
B000352,2024-06-22,2931,Night,1023
B000353,2023-04-03,3179,Night,1018
B000354,2023-07-10,4714,Afternoon,1015
B000355,2023-01-07,3429,Morning,1015
B000356,2022-08-09,4960,Night,1056
B000357,2022-09-18,1029,Afternoon,1087
B000358,2022-01-03,1176,Morning,1090
B000359,2022-11-19,1633,Night,1073
B000360,2023-05-01,1850,Afternoon,1067
B000361,2024-03-24,2041,Afternoon,1074
B000362,2022-01-23,2033,Morning,1013
B000363,2024-01-15,1967,Afternoon,1063
B000364,2024-01-08,1760,Morning,1075
B000365,2022-01-05,3825,Night,1080
B000366,2024-05-28,3895,Night,1029
B000367,2024-10-07,1033,Night,1087
B000368,2024-03-21,1936,Night,1012
B000369,2022-12-16,2282,Morning,1013
B000370,2022-10-29,3434,Night,1099
B000371,2022-10-19,1618,Morning,1095
B000372,2022-11-17,3436,Night,1012
B000373,2023-02-27,1228,Morning,1035
B000374,2022-10-03,3665,Morning,1008
B000375,2023-06-21,3607,Night,1075
B000376,2024-06-15,1572,Night,1031
B000377,2024-04-13,4408,Afternoon,1027
B000378,2022-05-03,2915,Afternoon,1046
B000379,2024-07-26,3152,Night,1097
B000380,2023-11-22,3646,Afternoon,1039
B000381,2022-08-18,3036,Afternoon,1067
B000382,2023-09-05,1784,Afternoon,1060
B000383,2024-08-14,3397,Afternoon,1069
B000384,2023-08-12,4058,Afternoon,1096
B000385,2022-01-27,2828,Morning,1021
B000386,2024-03-17,1598,Morning,1065
B000387,2022-01-21,1954,Morning,1009
B000388,2023-07-16,1327,Morning,1009
B000389,2022-06-26,4704,Night,1020
B000390,2024-11-26,796,Morning,1029
B000391,2022-04-20,4485,Afternoon,1068
B000392,2023-09-25,3654,Morning,1089
B000393,2024-06-20,4176,Night,1039
B000394,2022-09-27,1437,Afternoon,1054
B000395,2024-07-19,4669,Morning,1035
B000396,2023-01-04,1399,Afternoon,1012
B000397,2024-07-03,2070,Night,1069
B000398,2023-01-11,1177,Morning,1033
B000399,2022-09-28,638,Afternoon,1052
B000400,2024-12-14,4299,Night,1093
B000401,2024-07-07,2775,Night,1054
B000402,2022-01-05,4666,Night,1023
B000403,2022-04-11,1310,Morning,1068
B000404,2023-10-14,1525,Night,1086
B000405,2022-11-07,4808,Afternoon,1040
B000406,2023-08-16,2258,Night,1007
B000407,2022-10-08,3173,Morning,1086
B000408,2024-01-01,936,Afternoon,1021
B000409,2024-12-25,1949,Morning,1093
B000410,2024-07-26,2473,Morning,1011
B000411,2024-02-18,3899,Morning,1082
B000412,2023-07-29,4317,Night,1094
B000413,2024-05-29,742,Morning,1011
B000414,2023-12-13,4809,Morning,1008
B000415,2022-10-31,2964,Night,1027
B000416,2022-04-27,1310,Morning,1074
B000417,2023-09-03,1192,Afternoon,1059
B000418,2024-08-20,4711,Afternoon,1033
B000419,2024-11-09,2187,Night,1098
B000420,2022-03-25,3129,Night,1062
B000421,2022-08-22,2439,Afternoon,1046
B000422,2022-02-02,945,Morning,1044
B000423,2022-07-11,3893,Morning,1056
B000424,2024-04-25,2316,Afternoon,1017
B000425,2024-06-07,578,Morning,1032
B000426,2023-11-13,3264,Afternoon,1087
B000427,2022-03-10,2159,Morning,1025
B000428,2022-04-02,2959,Morning,1092
B000429,2022-01-19,3709,Night,1010
B000430,2023-07-14,2713,Morning,1064
