Batch_ID,Leather_Used_kg,Cork_Used_kg,Thread_Used_m,Glue_Used_L
B000001,3.78,0.62,158.64,0.39
B000002,3.95,1.77,77.12,0.49
B000003,1.01,0.55,118.11,0.43
B000004,1.77,0.64,101.88,0.36
B000005,2.99,1.17,185.22,0.44
B000006,2.87,0.53,53.1,0.17
B000007,4.24,1.55,84.22,0.3
B000008,2.68,1.08,185.66,0.23
B000009,3.37,1.18,144.94,0.1
B000010,4.72,1.98,190.99,0.15
B000011,1.63,0.88,71.8,0.23
B000012,3.71,0.85,121.18,0.45
B000013,2.9,0.53,96.87,0.36
B000014,1.18,0.84,91.44,0.42
B000015,4.62,1.72,75.29,0.44
B000016,4.14,1.42,159.62,0.14
B000017,1.45,0.74,126.16,0.14
B000018,2.37,1.35,136.91,0.41
B000019,4.14,1.46,173.88,0.18
B000020,3.79,1.13,75.78,0.46
B000021,1.11,1.43,63.67,0.37
B000022,3.58,1.18,63.84,0.27
B000023,3.31,1.15,164.69,0.13
B000024,2.19,0.53,136.0,0.28
B000025,4.44,0.82,89.51,0.31
B000026,4.39,0.55,115.4,0.27
B000027,1.18,0.75,158.31,0.34
B000028,2.19,0.53,66.39,0.38
B000029,2.65,0.64,141.14,0.33
B000030,2.23,1.04,63.53,0.18
B000031,2.59,1.12,178.62,0.37
B000032,1.25,1.45,103.97,0.45
B000033,2.76,1.88,62.12,0.22
B000034,2.03,1.47,164.86,0.27
B000035,4.71,1.58,101.89,0.18
B000036,3.81,1.05,146.07,0.4
B000037,2.25,0.65,161.31,0.42
B000038,1.82,0.82,92.44,0.44
B000039,2.1,1.25,85.79,0.15
B000040,3.02,1.86,155.5,0.21
B000041,4.94,0.55,68.32,0.21
B000042,2.31,1.24,113.1,0.21
B000043,4.23,0.94,80.51,0.36
B000044,1.08,1.64,123.18,0.46
B000045,2.03,0.57,59.43,0.35
B000046,2.21,0.77,179.4,0.3
B000047,4.11,1.41,189.64,0.1
B000048,2.54,0.53,115.08,0.49
B000049,3.0,1.65,182.62,0.24
B000050,4.5,1.77,178.71,0.13
B000051,4.32,1.11,55.12,0.36
B000052,4.23,1.0,113.26,0.37
B000053,2.67,1.61,170.27,0.39
B000054,3.82,1.26,171.18,0.19
B000055,3.12,0.7,91.16,0.43
B000056,2.87,0.82,186.99,0.4
B000057,3.71,1.11,117.45,0.45
B000058,1.79,1.46,153.35,0.5
B000059,4.0,0.63,108.18,0.4
B000060,1.71,0.7,184.6,0.41
B000061,1.15,0.66,67.51,0.3
B000062,4.41,1.89,179.22,0.44
B000063,1.01,1.25,65.89,0.17
B000064,1.54,1.76,100.02,0.35
B000065,1.68,1.47,108.24,0.39
B000066,3.09,1.42,51.73,0.2
B000067,2.91,0.84,110.2,0.5
B000068,3.54,0.68,198.69,0.48
B000069,3.24,1.93,152.92,0.13
B000070,3.86,1.35,156.84,0.41
B000071,2.9,1.05,73.68,0.18
B000072,3.48,1.8,93.5,0.3
B000073,4.93,0.74,118.29,0.38
B000074,1.01,1.02,93.62,0.11
B000075,1.38,0.74,107.82,0.19
B000076,3.61,1.08,111.72,0.23
B000077,1.92,0.95,58.21,0.4
B000078,3.51,1.73,89.78,0.22
B000079,1.29,1.45,98.85,0.3
B000080,1.8,1.27,56.9,0.36
B000081,2.64,0.53,155.46,0.18
B000082,1.17,1.07,152.42,0.15
B000083,2.31,1.95,108.27,0.42
B000084,3.49,1.1,141.19,0.31
B000085,2.73,1.55,168.24,0.21
B000086,2.33,1.23,197.96,0.44
B000087,3.08,0.98,93.25,0.42
B000088,4.12,1.54,76.44,0.14
B000089,1.06,1.23,113.0,0.22
