Machine_ID,Log_Date,Downtime_Minutes,Efficiency_%,Maintenance_Required
1,2023-06-23,30,91.33,No
15,2022-07-22,46,78.74,No
37,2024-01-27,2,93.35,No
8,2023-07-07,84,77.3,No
38,2023-07-20,13,76.75,No
47,2024-06-08,109,97.71,No
5,2023-04-16,3,79.98,No
48,2022-08-16,57,97.1,No
29,2024-03-10,67,83.78,No
46,2024-07-08,101,95.89,No
26,2023-03-26,66,95.62,No
7,2022-12-24,5,98.12,No
22,2022-08-14,69,76.07,No
19,2023-10-28,104,79.96,No
20,2022-06-29,58,77.85,No
46,2024-11-19,1,81.04,No
22,2023-10-17,114,81.07,No
49,2024-02-01,13,93.83,No
24,2022-09-13,64,85.15,No
9,2022-09-12,61,88.9,No
34,2022-05-24,116,97.89,No
12,2022-11-17,106,86.54,No
7,2024-04-22,94,90.09,No
17,2024-02-24,22,92.93,No
48,2023-08-21,67,82.77,No
32,2022-11-29,86,81.82,No
20,2022-01-27,12,75.67,No
45,2023-04-15,87,80.72,No
37,2023-07-14,96,88.95,Yes
43,2023-02-14,15,98.9,No
34,2024-06-14,5,95.16,No
16,2023-12-05,49,76.21,No
28,2023-05-19,69,84.57,No
26,2022-03-03,52,79.47,No
11,2023-12-02,94,91.41,Yes
20,2023-07-02,28,88.44,No
13,2024-12-18,92,90.19,No
32,2023-11-06,97,83.76,Yes
49,2023-03-19,11,75.58,Yes
38,2022-02-16,31,88.24,No
10,2024-09-26,67,92.86,No
42,2024-12-16,80,84.2,No
37,2023-12-21,23,78.0,No
23,2023-04-06,73,76.45,Yes
23,2024-01-09,23,75.45,No
7,2023-12-04,44,89.15,No
4,2022-11-24,77,90.42,No
45,2022-11-27,72,87.14,No
43,2022-01-24,25,81.22,No
13,2023-04-05,77,92.16,Yes
25,2023-11-29,57,77.07,No
30,2022-09-30,66,82.17,No
49,2022-04-23,3,80.08,No
21,2022-11-15,30,95.66,No
17,2023-06-09,9,90.18,No
36,2024-06-07,50,84.84,No
41,2023-11-23,104,89.03,No
46,2024-09-17,15,94.07,No
35,2023-03-13,47,79.04,No
32,2024-12-07,4,75.22,No
16,2024-04-12,9,94.77,No
47,2024-03-06,55,92.41,No
30,2022-05-02,26,88.61,No
28,2023-08-31,85,83.44,No
31,2023-06-01,75,88.65,No
2,2024-12-05,104,75.7,No
12,2024-02-04,94,75.19,No
12,2024-08-13,37,81.28,No
1,2024-11-11,76,89.94,No
29,2024-02-16,5,82.95,No
21,2022-05-19,100,97.19,No
15,2023-09-30,101,97.1,No
17,2024-06-01,78,85.08,No
12,2024-03-25,49,97.82,No
6,2023-10-09,77,80.28,No
11,2022-02-13,53,95.15,No
10,2023-10-26,58,83.82,Yes
45,2023-08-05,15,82.81,No
21,2022-03-26,89,81.06,No
46,2023-02-01,11,76.89,No
16,2024-04-11,102,89.02,No
12,2024-01-24,1,90.64,No
16,2022-06-01,74,81.19,No
49,2023-11-05,80,95.27,No
48,2024-10-05,60,89.97,No
39,2022-09-30,34,94.96,No
18,2022-02-07,26,88.78,No
29,2022-10-07,67,84.65,No
38,2023-01-07,119,96.37,No
38,2022-12-04,67,86.52,No
20,2023-12-19,100,93.81,No
4,2022-04-17,26,80.27,No
47,2024-06-26,80,92.17,Yes
5,2023-09-05,47,97.98,No
37,2024-09-10,0,80.39,No
7,2024-10-18,119,83.27,No
33,2024-05-21,59,76.22,No
27,2024-07-28,94,76.04,No
2,2023-10-17,7,87.82,No
38,2022-11-01,92,87.54,No
21,2024-06-19,109,77.52,No
27,2023-08-27,44,93.82,No
15,2023-02-04,106,95.25,Yes
38,2024-01-06,100,80.25,No
9,2023-02-20,18,93.89,No
49,2023-06-22,34,93.25,No
42,2024-01-06,90,94.36,No
48,2023-07-07,33,87.45,No
4,2024-06-05,23,82.69,No
26,2023-07-22,88,90.35,No
28,2022-05-23,43,87.72,No
32,2024-04-17,6,97.59,No
11,2024-06-24,22,75.56,No
37,2024-09-07,52,90.72,No
11,2023-12-14,42,97.48,No
12,2022-03-07,85,92.27,No
21,2024-07-17,114,95.37,No
20,2022-08-20,96,79.54,No
39,2023-12-13,70,87.72,No
33,2022-03-28,30,93.2,No
21,2024-07-20,92,91.54,No
7,2023-03-01,74,88.57,No
42,2022-09-10,66,87.92,No
3,2022-06-28,82,97.11,No
44,2024-04-14,89,79.81,No
24,2023-02-03,36,92.61,No
26,2023-12-21,86,95.64,No
34,2022-03-21,14,97.78,No
21,2023-04-28,53,89.67,No
14,2024-09-02,79,84.87,No
27,2022-12-09,55,95.2,No
33,2023-11-22,8,79.87,No
39,2024-07-07,46,97.01,No
44,2022-07-20,104,89.73,No
25,2022-08-27,77,81.62,No
